Script started on Sun 08 Nov 2020 13:37:26 GMT
]0;sysop@raspberrypi: ~/seismicpi_plugin[01;32msysop@raspberrypi[00m:[01;34m~/seismicpi_plugin $[00m exit/home/sysop/seiscomp3/share/plugins/seedlink/seismicpi_plugin  -p /home/sysop/seiscomp3/var/lib/seedlink/UK.TEST.00.BHZ.prop
Sun Nov 08 13:37:28 2020 - ERROR: N_LINE_DATA: 16
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 13
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 132
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 1329
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA2: -
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA2: -5
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA2: -58
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA2: -581
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA3: 6
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA3: 66
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA3: 660
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA3: 6600
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA4: 0
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA4: 0
Sun Nov 08 13:37:28 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA: 1329,-581,6600,0
Sun Nov 08 13:37:28 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:28 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA: 1335,-579,6600,0
Sun Nov 08 13:37:28 2020 - ERROR: N_LINE_DATA: 16
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 13
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 133
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 1335
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA2: -
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA2: -5
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA2: -57
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA2: -579
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA3: 6
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA3: 66
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA3: 660
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA3: 6600
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA4: 0
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA4: 0
Sun Nov 08 13:37:28 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA: 1335,-579,6600,0
Sun Nov 08 13:37:28 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:28 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:28 2020 - ERROR: N_LINE_DATA: 16
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 13
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 133
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 1334
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA2: -
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA2: -5
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA2: -58
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA2: -586
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA3: 6
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA3: 66
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA3: 662
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA3: 6623
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA4: 0
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA4: 0
Sun Nov 08 13:37:28 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:28 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:28 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:28 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:29 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:29 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:29 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:29 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:29 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:29 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:29 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:29 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:29 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:29 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:29 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:29 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:29 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:29 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:29 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:29 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:29 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:29 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:29 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:29 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:30 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:30 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:30 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:30 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:30 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:30 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:30 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:30 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:30 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:30 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:30 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:30 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:30 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:30 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:30 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:30 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:30 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:30 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:30 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:30 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:31 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:31 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:31 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:31 2020 - ERROR: SINGLE_MULTI: 2
